,AID,CID,Activity Outcome,Protein Accession,SMILES
2194047,1671197,155819421.0,Active,AAV41877,C[C@H]1/C=C\C=C(/C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)[O-])\C.[Na+]
2194049,1671197,57372628.0,Inactive,AAV41877,C[N+](C)(CCOC1=CC=CC=C1)CC2=CC=CS2.[I-]
2194053,1671197,72187528.0,Inactive,AAV41877,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)[O-])C)S(=O)(=O)O.[Na+]
2194057,1671197,69155711.0,Active,AAV41877,C[C@@H](C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
2194059,1671197,9916275.0,Active,AAV41877,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+]
2194061,1671197,72187526.0,Inactive,AAV41877,C1=C(C(=O)NC(=O)N1[C@@H]2[C@H]([C@@H]([C@H](O2)CO)O)O)/C=C\Br
2194063,1671197,135465076.0,Active,AAV41877,C1=CC=C(C=C1)/[N+](=N/[O-])/[O-].[NH4+]
2194065,1671197,72187527.0,Inactive,AAV41877,C1CC2C[C@H]1[C@H]3[C@@H]2CN(C3)NC(=O)C4=CC(=C(C=C4)Cl)S(=O)(=O)N
2194067,1671197,9889168.0,Active,AAV41877,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-]
2194069,1671197,9865514.0,Active,AAV41877,CC1=CC2=C3C(=C1)C(=N[C@H](C(=O)N3CC2)NC(=O)C4=CC=NC=C4)C5=CC=CC=C5
2194073,1671197,18551400.0,Inactive,AAV41877,CC(CC1=CC=C(C=C1)OCC(=O)O)NCC(C2=CSC(=N2)C(F)(F)F)O
2194075,1671197,166642342.0,Inactive,AAV41877,C/C(=C\C(=[OH+])C)/[O-].C/C(=C\C(=[OH+])C)/[O-].C/C(=C/C(=[OH+])C)/[O-].[Fe]
2194077,1671197,118984397.0,Active,AAV41877,CCCCCCC(C)(C)C(=O)[O-].CCCCCCC(C)(C)C(=O)[O-].[Ca+2]
2194079,1671197,57369982.0,Inactive,AAV41877,CCCC[N+]1(CCCCC1)C.F[P-](F)(F)(F)(F)F
2194081,1671197,60196441.0,Active,AAV41877,CC1=C(C=CC(=C1)F)C2=CC(=NC=C2N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N4CC[C@H]([C@H]4CO)O
2194085,1671197,9842616.0,Active,AAV41877,C1CC2CC(CC1N2C3=NC=CC=N3)NCC(=O)N4CC(C[C@H]4C#N)(F)F
2194089,1671197,44555481.0,Inactive,AAV41877,CCCC[C@H]1CN(C(=O)OC12CCN(CC2)C3(CCN(CC3)C(=O)C4=C(N=CN=C4C)C)C)CC5CCOCC5
2194091,1671197,24180709.0,Active,AAV41877,CNC(=S)[S-].O.O.O.[Na+]
2194093,1671197,136122621.0,Active,AAV41877,C[C@H]1/C=C\C=C(/C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)\C
2194095,1671197,86287518.0,Inactive,AAV41877,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl
2194097,1671197,57358854.0,Inactive,AAV41877,CCCC[N+]1=CC=CC(=C1)C.F[P-](F)(F)(F)(F)F
2194099,1671197,60196432.0,Inactive,AAV41877,O.O.Cl[In](Cl)Cl
2194101,1671197,9839306.0,Active,AAV41877,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC#C
2194105,1671197,9860484.0,Inactive,AAV41877,[Cl-].[Cl-].[Cl-].[Yb+3]
2194107,1671197,25150753.0,Inactive,AAV41877,C[NH+](C)CCC(C1=CC=CC=C1)C2=CC=CC=[NH+]2.C(=C\C(=O)[O-])\C(=O)[O-]
2194111,1671197,56638112.0,Active,AAV41877,COC1=CC(=C(C=C1)C(=O)C2=CC(=CC=C2)O)OC
2194113,1671197,56846451.0,Active,AAV41877,COC1=C(C(=C(C=C1)CCN(CCC2=C(C(=C(C=C2)OC)OC)OC)C(=O)C(C3=CC=CC=C3)C4=NCCC5=CC(=C(C=C54)OC)OC)OC)OC.Cl
2194117,1671197,76973791.0,Active,AAV41877,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O.CS(=O)(=O)O.O
2194119,1671197,60196397.0,Active,AAV41877,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-]
2194121,1671197,9866250.0,Active,AAV41877,C1COCCC1(C(=O)NO)NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)F
2194125,1671197,72187524.0,Inactive,AAV41877,CCCCCCCC/C=C/C(=O)[O-].CCCCCCCC/C=C/C(=O)[O-].[Ca+2]
2194127,1671197,44578765.0,Active,AAV41877,CCOC1=CC=CC(=C1)N2C=C(N=C2C3=CC=C(C=C3)C)C(=O)N4CCN(CC4)C5=CC6=CC=CC=C6C(=C5)C(=O)[O-].[Na+]
